                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0559,                 1.3631,                 1.4172,                 1.1504,                 1.5782,                 1.4281,                0.74204,                0.64617,                0.72918,                0.52639,                 1.0001,                 1.0107,                 1.3432,                 1.0639,                 1.1259,                 1.3612,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.0591,                 1.3756,                 1.4214,                 1.1561,                  1.591,                  1.432,                0.74552,                 0.6425,                0.73003,                 0.5273,                0.99924,                 1.0088,                 1.3423,                 1.0631,                 1.1237,                 1.3597,               0.008713,               0.008713,               0.008713
                     68,                 1.0537,                 1.3655,                 1.4152,                 1.1494,                 1.5795,                 1.4288,                0.73217,                0.65319,                0.73129,                 0.5285,                 0.9981,                 1.0063,                 1.3409,                 1.0628,                 1.1192,                 1.3582,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.0526,                 1.3629,                 1.4145,                 1.1489,                 1.5752,                 1.4236,                0.73159,                0.65573,                0.73209,                0.52961,                0.99674,                 1.0046,                 1.3393,                 1.0614,                 1.1173,                  1.357,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.0542,                 1.3454,                 1.4133,                   1.15,                 1.5677,                 1.4267,                0.73826,                0.65352,                0.73316,                0.53035,                0.99582,                 1.0024,                 1.3381,                 1.0619,                 1.1129,                 1.3571,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.0499,                 1.3448,                 1.4084,                 1.1449,                 1.5644,                 1.4179,                0.73834,                 0.6527,                0.73406,                0.53087,                0.99488,                0.99997,                 1.3368,                 1.0612,                 1.1116,                 1.3558,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.0465,                 1.3409,                 1.4074,                 1.1444,                 1.5472,                 1.4172,                0.73511,                0.65789,                0.73447,                0.53127,                0.99378,                0.99782,                 1.3356,                 1.0608,                 1.1096,                 1.3547,               0.008614,               0.008614,               0.008614
                     73,                 1.0462,                 1.3369,                 1.4074,                 1.1464,                 1.5487,                 1.4212,                0.73774,                0.65726,                0.73553,                0.53259,                0.99251,                0.99589,                 1.3343,                 1.0596,                  1.107,                 1.3538,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.0451,                  1.333,                 1.4013,                 1.1402,                 1.5446,                 1.4109,                0.73509,                 0.6611,                0.73688,                0.53379,                 0.9917,                0.99394,                 1.3332,                 1.0598,                 1.1033,                 1.3538,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.0425,                  1.328,                 1.3986,                 1.1413,                 1.5398,                 1.4117,                0.73266,                0.66502,                0.73738,                0.53426,                0.99104,                0.99186,                 1.3322,                 1.0585,                  1.103,                 1.3523,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.0447,                 1.3268,                 1.4062,                 1.1459,                 1.5396,                 1.4219,                0.73021,                0.66905,                0.73798,                0.53503,                0.99026,                0.99025,                  1.331,                 1.0582,                 1.1007,                 1.3515,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.0398,                 1.3239,                 1.4011,                  1.135,                 1.5435,                 1.4134,                0.73514,                0.66532,                0.73834,                0.53576,                0.98963,                0.98805,                 1.3301,                 1.0575,                  1.098,                 1.3502,               0.008515,               0.008515,               0.008515
                     78,                 1.0378,                  1.317,                 1.3951,                 1.1341,                 1.5353,                 1.4087,                0.73416,                0.66795,                0.73932,                0.53653,                0.98896,                0.98634,                 1.3293,                  1.057,                 1.0959,                 1.3496,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.0393,                 1.3078,                 1.3961,                 1.1357,                  1.524,                 1.4096,                0.73401,                0.66884,                 0.7401,                0.53749,                0.98829,                0.98464,                 1.3282,                 1.0554,                  1.094,                 1.3483,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.0399,                 1.3135,                 1.3965,                 1.1352,                 1.5255,                 1.4098,                0.73574,                 0.6672,                0.74077,                0.53821,                0.98763,                0.98282,                 1.3273,                 1.0549,                 1.0915,                 1.3481,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.0354,                 1.3132,                  1.396,                 1.1303,                 1.5304,                 1.4115,                0.73322,                0.66806,                0.74049,                0.53824,                0.98682,                0.98116,                 1.3262,                  1.055,                  1.089,                 1.3476,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.0307,                 1.2977,                 1.3913,                 1.1292,                 1.5164,                 1.4066,                 0.7321,                0.67118,                0.74127,                0.53872,                0.98633,                0.97882,                 1.3253,                 1.0549,                 1.0869,                 1.3468,               0.008416,               0.008416,               0.008416
                     83,                 1.0314,                 1.3032,                 1.3913,                 1.1301,                 1.5161,                 1.4055,                0.73444,                0.66909,                0.74138,                0.53922,                0.98578,                  0.977,                 1.3247,                 1.0543,                 1.0849,                 1.3459,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.0275,                 1.2958,                 1.3859,                 1.1242,                 1.5077,                  1.399,                 0.7322,                0.67215,                0.74243,                0.54036,                0.98505,                0.97558,                 1.3238,                 1.0537,                  1.083,                 1.3455,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.0355,                 1.2915,                 1.3905,                 1.1313,                 1.5079,                 1.4029,                0.73802,                0.67089,                0.74366,                0.54093,                0.98435,                0.97399,                 1.3228,                  1.053,                 1.0813,                 1.3443,              0.0083566,              0.0083566,              0.0083566
                     86,                 1.0344,                 1.2925,                 1.3899,                 1.1358,                  1.507,                 1.4037,                0.72981,                0.67843,                0.74408,                0.54155,                0.98369,                0.97236,                 1.3218,                 1.0521,                 1.0798,                 1.3434,              0.0083368,              0.0083368,              0.0083368
